Id,Name,Stat,Value,Price,Slot,Desc
1000,낡은 검,4,10,500,4,부서지기 직전이다.
1001,평범한 검,4,20,1000,4,평범한 검.
1002,고급 검,4,30,2000,4,튼튼한 검.
1003,최고급 검,4,40,3000,4,실력에 비해 비싼 검.
1004,화려한 검,4,50,6000,4,검이 화려하다고 성능이 좋은건 아님.
1005,낡은 단검,4,10,500,4,부서지기 직전이다.
1006,평범한 단검,4,20,1000,4,평범한 단검.
1007,고급 단검,4,30,2000,4,튼튼한 단검.
1008,최고급 단검,4,40,3000,4,실력에 비해 비싼 단검.
1009,화려한 단검,4,50,6000,4,단검이 화려하다고 성능이 좋은건 아님.
1010,낡은 활,4,10,500,4,부서지기 직전이다.
1011,평범한 활,4,20,1000,4,평범한 활 이다.
1012,고급 활,4,30,2000,4,튼튼한 활.
1013,최고급 활,4,40,3000,4,실력에 비해 비싼 활.
1014,화려한 활,4,50,6000,4,활이 화려하다고 성능이 좋은건 아님.
1015,낡은 경전,4,10,500,4,찢어지기 직전이다.
1016,평범한 경전,4,20,1000,4,평범한 경전 이다.
1017,고급 경전,4,30,2000,4,튼튼한 경전.
1018,최고급 경전,4,40,3000,4,경전을 무기로 사용 하는게 정상?
1019,화려한 경전,4,50,6000,4,진짜 무서운 경전은 무기가 될 수 있다 하지만 실력은...?
1020,그림자의 송곳니,4,80,10000,4,암흑의 정령 최한빈의 무기
1021,빛의 심판,4,80,10000,4,빛의 정령 윤지호의 무기
1022,맑은 소나기,4,80,10000,4,바람의 정령 김자은의 무기
1023,대지의 격노,4,80,10000,4,대지의 정령 강기수의 무기
1024,에러 코드 빨간 줄의 연속,4,999,99999,4,코딩의 정령(기획으로 도주 예정)김성원의 무기
